category,status,mls_number,price,listing_class,property_type,address,city,zip,area,bedrooms,full_baths,half_baths,hoa_monthly
withdrawn,WITHDRAWN,2606164,"$459,900",RESIDENTIAL,Detached,2428 Copper Meadow Loop,Longs,29568,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,4,3,0,$106
withdrawn,WITHDRAWN,2509183,"$460,000",RESIDENTIAL,Detached,971 Folly Rd.,Myrtle Beach,29588,19A Myrtle Beach Area--Socastee,4,3,1,$0
withdrawn,WITHDRAWN,2526691,"$460,000",RESIDENTIAL,Detached,370 Rose Mallow Dr.,Myrtle Beach,29579,10B Myrtle Beach Area--Carolina Forest,4,2,0,$150
withdrawn,WITHDRAWN,2527767,"$465,000",RESIDENTIAL,Detached,5653 Highway 668,Conway,29526,14A Conway Area--Northern edge of Conway South of Rt 22,4,2,0,$0
withdrawn,WITHDRAWN,2602217,"$469,900",RESIDENTIAL,Detached,2605 Muhly Ct.,Conway,29526,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,5,3,1,$77
withdrawn,WITHDRAWN,2508562,"$475,000",COMMERCIAL/INDUSTRIAL,Office,4123 Meeting St.,Loris,29569,02A Loris Area--central includes city of Loris,,,,
withdrawn,WITHDRAWN,2523055,"$479,900",RESIDENTIAL,Detached,1224 Safe Haven Dr.,Myrtle Beach,29579,24B Myrtle Beach Area-- south of 501 between Burcale & waterway,3,2,0,$161
withdrawn,WITHDRAWN,2608079,"$480,000",CONDO/TOWNHOUSE,Condo,158 Seawatch Dr.,Myrtle Beach,29572,16B Myrtle Beach Area--Arcadian,2,2,0,"$1,440"
withdrawn,WITHDRAWN,2522080,"$485,000",RESIDENTIAL,Detached,124 Windmeadows Dr.,Conway,29526,21B Conway central between 701 & Long Ave / north of 501,4,2,1,$0
withdrawn,WITHDRAWN,2525138,"$489,000",RESIDENTIAL,Detached,6619 Colonial Dr.,Myrtle Beach,29572,16D Myrtle Beach Area--48th Ave N to 79th Ave N,5,3,0,$60
withdrawn,WITHDRAWN,2530137,"$489,500",RESIDENTIAL,Detached,2239 Jackson Circle,Little River,29566,04B Little River Area--North of Hwy 9,3,2,0,$108
withdrawn,WITHDRAWN,2529255,"$494,000",RESIDENTIAL,Detached,673 Tidal Point Ln.,Myrtle Beach,29579,24B Myrtle Beach Area-- south of 501 between Burcale & waterway,4,3,0,$51
withdrawn,WITHDRAWN,2601123,"$495,000",RESIDENTIAL,Detached,800 Perrin Dr.,North Myrtle Beach,29582,11B North Myrtle Beach Area--Ocean Drive,2,2,0,$0
withdrawn,WITHDRAWN,2507282,"$495,000",RESIDENTIAL,Detached,600-B 43rd Ave. S,North Myrtle Beach,29582,11E North Myrtle Beach Area--Windy Hill,3,2,0,$0
withdrawn,WITHDRAWN,2530151,"$495,500",LAND,Residential Lot,410 14th Ave. N,Surfside Beach,29575,29A Surfside Beach--East of 17 & north of Surfside Drive,,,,
withdrawn,WITHDRAWN,2509521,"$499,900",CONDO/TOWNHOUSE,Condo,1516 Edge Dr.,North Myrtle Beach,29582,11C North Myrtle Beach Area--Crescent Beach,4,3,0,$250
