category,mls_number,price,property_type,address,city,zip,bedrooms,full_baths,half_baths,hoa_monthly
withdrawn,915074,"$15,000",Residential Lot,Lot #4 Old Buck Creek Rd.,Longs,29568,,,,
withdrawn,915072,"$15,000",Residential Lot,Lot #2 Old Buck Creek Rd.,Longs,29568,,,,
withdrawn,1608056,"$15,000",Residential Lot,E Lake Side Trail,Longs,29568,,,,
withdrawn,1913634,"$15,000",Special Use,690 Singleton Ridge Rd.,Conway,29526,,,,
withdrawn,1105078,"$15,000",Residential Lot,LOT 83 Waterbridge Blvd.,Myrtle Beach,29579,,,,
withdrawn,1107286,"$15,000",Manufactured Leased Land,1240 Stoneybrook Dr.,Conway,29526,3,2,0,$275
withdrawn,1016705,"$15,000",Residential Lot,356 Summer Rose Ln.,Myrtle Beach,29579,,,,
withdrawn,1211439,"$15,000",Residential Lot,Lot 10 Kellys Cove Dr.,Conway,29526,,,,
withdrawn,2016294,"$15,000",Manufactured Lot,6137 Green Meadow Dr.,Conway,29527,,,,
withdrawn,2003012,"$15,000",Manufactured Lot,2017 Misty Morning Dr.,Conway,29527,,,,
withdrawn,1320385,"$15,000",Acreage,OFF OF Circle Ln.,Myrtle Beach,29588,,,,
withdrawn,1906666,"$15,000",Residential Lot,112 Black Harbor Dr.,Conway,29526,,,,
withdrawn,1519635,"$15,000",Residential Lot,TBD Macedonia Dr.,Loris,29569,,,,
withdrawn,1414132,"$15,000",Residential Lot,Lot 41 Black Water Cove,Conway,29526,,,,
withdrawn,1519632,"$15,000",Residential Lot,TBD Macedonia Rd.,Loris,29569,,,,
withdrawn,2016333,"$15,000",Manufactured Lot,2029 Misty Morning Dr.,Conway,29527,,,,
withdrawn,2016341,"$15,000",Manufactured Lot,2074 Misty Morning Dr.,Conway,29527,,,,
withdrawn,1011048,"$15,000",Residential Lot,TBD Highway 66,Loris,29569,,,,
withdrawn,1210550,"$15,000",Residential Lot,Tract C Emma Gause Pl.,Myrtle Beach,29588,,,,
withdrawn,2016340,"$15,000",Manufactured Lot,2064 Misty Morning Dr.,Conway,29527,,,,
withdrawn,1102846,"$15,000",Residential Lot,893 Compton Dr.,Conway,29526,,,,
withdrawn,727638,"$15,000",Residential Lot,Lot 20 Hamilton Way,Conway,29526,,,,
withdrawn,1215488,"$15,000",Business,1419-B Highway 17,North Myrtle Beach,29582,,,,
withdrawn,2217094,"$15,000",Detached,6129 Highway 701 South,Conway,29527,2,1,0,$0
withdrawn,917988,"$15,000",Manufactured Leased Land,1520 Virgo Ln.,Myrtle Beach,29575,2,1,1,
withdrawn,1415501,"$15,000",Manufactured Lot,Lot C3 Colorado Ranch Rd.,Loris,29569,,,,
withdrawn,1415502,"$15,000",Manufactured Lot,Lot C4 Colorado Ranch Rd.,Loris,29569,,,,
withdrawn,2225349,"$15,000",Retail,1900 N Kings Hwy.,Myrtle Beach,29577,,,,
withdrawn,1003143,"$15,000",Residential Lot,tbd Bertie Rd.,Green Sea,29545,,,,
withdrawn,1516810,"$15,000",Manufactured Lot,Lot 33 B Lake Swamp Rd.,Nichols,29581,,,,
withdrawn,1108000,"$15,000",Residential Lot,Lot 17 Cox Rd.,Loris,29569,,,,
withdrawn,2111102,"$15,000",Commercial Lot - Sale,908 Highway 9 Business E,Loris,29569,,,,
withdrawn,1102513,"$15,000",Residential Lot,TBD 72nd St.,Loris,29569,,,,
withdrawn,1616940,"$15,000",Residential Lot,617 Timber Creek Dr.,Loris,29569,,,,
withdrawn,1615048,"$15,000",Manufactured Leased Land,131 Village Dr.,Myrtle Beach,29588,3,2,0,$0
withdrawn,1317472,"$15,000",Acreage,Hemingway Road NE Hemingway Rd.,Loris,29569,,,,
withdrawn,1010202,"$15,000",Residential Lot,0 Woodrow Ln.,Loris,29569,,,,
withdrawn,1801319,"$15,000",Acreage,Lot 3a Vaught Rd.,Galivants Ferry,29544,,,,
withdrawn,1801321,"$15,000",Acreage,Lot 3b Vaught Rd.,Galivants Ferry,29544,,,,
withdrawn,1918586,"$15,000",Residential Lot,TBD W Highway 19,Loris,29569,,,,
withdrawn,1415214,"$15,000",Condo,2507 S Ocean Blvd.,North Myrtle Beach,29582,3,2,0,$125
withdrawn,1804741,"$15,000",Residential Lot,1227 Rainbow Dr.,Loris,29569,,,,
withdrawn,1800630,"$15,000",Residential Lot,1219 Rainbow Dr.,Loris,29569,,,,
withdrawn,1710770,"$15,000",Residential Lot,Lot 1 Huckleberry Ln.,Loris,29569,,,,
withdrawn,1804745,"$15,000",Residential Lot,1231 Rainbow Dr.,Loris,29569,,,,
withdrawn,1710772,"$15,000",Residential Lot,1279 Huckleberry Ln.,Loris,29569,,,,
withdrawn,2418962,"$15,167",Retail,1112 S 3rd Ave. S,Myrtle Beach,29577,,,,
withdrawn,2400935,"$15,167",Industrial,11750 Highway 17 Bypass,Murrells Inlet,29576,,,,
withdrawn,1211910,"$15,500",Acreage,3.38 Acres Highway 545,Conway,29526,,,,
withdrawn,1106648,"$15,500",Manufactured Leased Land,#3 Topsail Ln.,Garden City Beach,29576,2,2,0,$330
withdrawn,1911700,"$15,500",Condo,1409 Ocean Blvd. S,North Myrtle Beach,29582,3,2,0,$85
withdrawn,1022316,"$15,500",Manufactured Lot,Lot 15A Lake Pond Rd.,Loris,29569,,,,
withdrawn,1217305,"$15,500",Residential Lot,0 Flag Patch Rd.,Loris,29569,,,,
withdrawn,1925152,"$15,500",Manufactured Lot,Lot 4 TBD Watts Rd.,Loris,29569,,,,
withdrawn,1925153,"$15,500",Manufactured Lot,Lot 5 TBD Watts Rd.,Loris,29569,,,,
withdrawn,1214925,"$15,900",Manufactured Lot,TBD Dipping Vat Rd.,Galivants Ferry,29544,,,,
withdrawn,1510936,"$15,900",Boat Slip - Sale,4908 Lightkeepers Way,Little River,29566,,,,
withdrawn,1308081,"$15,900",Residential Lot,Lot 69 Gemini Circle,Conway,29526,,,,
withdrawn,901109,"$15,900",Residential Lot,Lot 9 Lovett Ln.,Green Sea,29545,,,,
withdrawn,1400706,"$15,900",Residential Lot,TBD Cravens Ln.,Conway,29526,,,,
withdrawn,2008551,"$15,900",Acreage,3348 Blain Ln.,Conway,29526,,,,
withdrawn,2515702,"$15,960",Retail,6613 North Kings Hwy.,Myrtle Beach,29572,,,,
withdrawn,1517263,"$16,000",Manufactured Lot,68 Mayfield Dr.,Conway,29526,,,,
withdrawn,1005878,"$16,000",Residential Lot,LOT 510 Waterbridge Blvd.,Myrtle Beach,29579,,,,
withdrawn,1307441,"$16,000",Residential Lot,lt. 4 Lincoln Heights Rd.,Little River,29566,,,,
