Address,Area,City,Class,Keyword1,Keyword2,Keyword3,StatusID,SystemPrice,Type,Zip,_DisplayId,_ID,display_id,int2_3,Category
7400 N Kings Hwy.,16C Myrtle Beach Area--79th Ave N to Dunes Cove,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,437,Office,29572,1602935,1602935:0,1602935,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,440,Office,29577,1921975,1921975:0,1921975,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,445,Office,29577,1908061,1908061:0,1908061,,WITHDRAWN
Slip #2 Mariners Pointe,04B Little River Area--North of Hwy 9,Little River,LAND,,,,WITHDRAWN,450,Boat Slip - Lease,29566,2403114,2403114:0,2403114,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29577,2002587,2002587:0,2002587,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29577,2524315,2524315:0,2524315,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29577,1922171,1922171:0,1922171,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29577,2304481,2304481:0,2304481,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29577,2306491,2306491:0,2306491,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29577,1922167,1922167:0,1922167,,WITHDRAWN
17 Hwy 17 S,29B Surfside Beach--East of 17 and south of Surfside Drive,Surfside Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29575,2316674,2316674:0,2316674,,WITHDRAWN
17-C Highway 17 Business South,29B Surfside Beach--East of 17 and south of Surfside Drive,Surfside Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29575,2223222,2223222:0,2223222,,WITHDRAWN
